title,year,creator,tags,summary,url,thumbnail
The Gun and the Pulpit,1974,,western | comedy | marjoe gortner | pamela martin | films | movies,"An on the run gunfighter, wanted for a crime he didn't commit, stumbles upon the body of a preacher who's been killed. In an attempt to hide from his pursuers, he takes on the dead preacher's identity and proceeds to make quite an…",https://archive.org/details/cco_thegunandthepulpit,https://archive.org/services/img/cco_thegunandthepulpit
Quicksand,1950,,suspense | noir | crime | Mickey Rooney | Peter Lorre | Jack Elam,"An engrossing suspense film with Mickey Rooney, Peter Lorre, and Jeanne Cagney. Needing money for a date, Rooney borrows $20 from the cash register, starting a chain of events that includes car theft, burglary, and possibly murder. (Yes,…",https://archive.org/details/Quicksand_clear,https://archive.org/services/img/Quicksand_clear
Shame,1962,Roger Corman,Drama | William Shatner,"Shame also known as ""I Hate Your Guts"" ""The Intruder"" is a 1962 film directed by Roger Corman starring William Shatner as a racist mystery man sent to stir trouble in a southern town that is about to integrate its high school. Roger Corman…",https://archive.org/details/shame_,https://archive.org/services/img/shame_
Sherlock Holmes and the Secret Weapon,1943,,Mystery | Crime | Sherlock Holmes,"Based on the Sir Authur Conan Doyle story ""The Dancing Men"", Sherlock Holmes and Dr. Watson are placed in WWII europe to help protect a scientist and his invention from the Nazis. Basil Rathbone .... Sherlock Holmes Nigel Bruce .... Dr.…",https://archive.org/details/secret_weapon,https://archive.org/services/img/secret_weapon
Bronenosets Potyomkin (Battleship Potemkin),1925,Jacob Bliokh,Silent | Drama | History | War,"Considered one of the most important films in the history of silent pictures, as well as possibly Eisenstein's greatest work, Battleship Potemkin brought Eisenstein's theories of cinema art to the world in a powerful showcase; his emphasis…",https://archive.org/details/BattleshipPotemkin,https://archive.org/services/img/BattleshipPotemkin
Teaserama,1955,Irving Klaw and Paula Klaw,Stripper | Comedy | Burlesque | Variety,"This, uh, documentary is a compilation of performances by strippers and comedians featuring Bettie Page and Tempest Storm. IMDb Page",https://archive.org/details/Teaserama,https://archive.org/services/img/Teaserama
Five Minutes To Live,1961,Johnny Cash,Johnny Cash | bank robbery | Psycho Killer | Ron Howard,"This amazing bank heist movie stars Johnny Cash, Vic Tayback, Ron Howard, and country music great, Merle Travis. Johnny Cash gives a surprising performance as a guitar playing, sadistic psycho-killer. Six year old Ron Howard is absolutely…",https://archive.org/details/Five_Minutes_To_Live.avi,https://archive.org/services/img/Five_Minutes_To_Live.avi
DOUBLE FEATURE HELL 2 (the grindhouse experience).,,The 2am Theater,2am Theater | double feature | grindhouse | exploiatation | nudism | Betty Page,"ADULT CONTENT ADVISORY: this grindhouse double feature simulation contains nudity and other content some viewers might find objectionable. Your night in the sleazy side of town begins with three trailers and a Betty Page short, followed by…",https://archive.org/details/DoubleFeatureHell2theGrindhouseExperience,https://archive.org/services/img/DoubleFeatureHell2theGrindhouseExperience
Great Expectations (1946),,,John Mills | Tony Wager | Alec Guinness | Valerie Hobson | Jean Simmons | Mystic Nights Videos,The classic story of Pip the British orphan. Great Expectations (1946) Fall's Under The Transitional Aspects Of UK Law. http://www.archive.org/post/285670/are-these-public-domain Mystic Nights Videos,https://archive.org/details/GreatExpectations1946,https://archive.org/services/img/GreatExpectations1946
"Nosferatu, eine Symphonie des Grauens (A Symphony of Horror)",1922,Enrico Dieckmann & Albin Grau,bram | stoker | dracula | orlek | Fantasy | Horror | Thriller | Nosferatu,This is the most complete version available (just over 93 minutes) as this movie was demanded by Bram Stokers widow to be destroyed after winning 2 lawsuits in the mid & late 1920's. Tinted scenes and beautiful quality. I have seen the…,https://archive.org/details/Nosferatu_most_complete_version_93_mins.,https://archive.org/services/img/Nosferatu_most_complete_version_93_mins.
"Charlie Chaplin's ""The Count""",1916,,Charlie Chaplin | Silents,"Charlie Chaplin's 55th Film released Sept. 04 1916. The Count was Charlie Chaplin's fifth film for Mutual Films. Co-starring Eric Campbell and Edna Purviance, it is a story about Charlie and his boss finding an invitation to a party from a…",https://archive.org/details/CC_1916_09_04_TheCount,https://archive.org/services/img/CC_1916_09_04_TheCount
The Ghoul,1933,T Hayes Hunter,Horror | Egypt | Mummy | Boris Karloff | Cedric Hardwicke | Ralph Richardson | Lost Film,"The Ghoul is a 1933 British Horror film starring Boris Karloff, Cedric Hardwicke, Ernest Thesiger and Ralph Richardson, whose debut film this was. The plot centres around a Professor (Karloff) who is to be buried with an Egyptian jewel in…",https://archive.org/details/TheGhoul,https://archive.org/services/img/TheGhoul
The Iron Mask,1929,Douglas Fairbanks,adventure | romance,A swashbuckling Alexandre Dumas adventure featuring Douglas Fairbanks. You can find more information regarding this film on its IMDb page .,https://archive.org/details/iron_mask,https://archive.org/services/img/iron_mask
"The Three Stooges - ""Color Craziness""",,,three stooges | comedy,"""The New Three Stooges"" was produced in 1965. It featured the animated adventures of Moe, Larry, & Curly Joe. The cartoons were introduced by live-action inserts with the real Stooges. These inserts were some of the only Stooges material…",https://archive.org/details/ColorCrazinessTheThreeStooges,https://archive.org/services/img/ColorCrazinessTheThreeStooges
The Amazing Adventure,1936,"Alfred Zeisler, Robert Garrett, Otto Klement",Romance | Comedy | Drama,Cary Grant plays Earnest Bliss a rich socialite who makes a bet with his doctor that he can make a living for one year using none of his current wealth.,https://archive.org/details/amazing_adventure,https://archive.org/services/img/amazing_adventure
The Birth of a Nation,1915,D.W. Griffith,D.W. Griffith | The Clansman | Silent | pdmovies,"In its time, ""The Birth of a Nation"" was a masterpiece. Its racist undertones and revisionism are quite disturbing, but it is still worth watching for its historical influence. IMDb entry: http://imdb.com/title/tt0004972/",https://archive.org/details/dw_griffith_birth_of_a_nation,https://archive.org/services/img/dw_griffith_birth_of_a_nation
Teenagers from Outer Space,1959,Tom Graeff,Sci-Fi | Horror,A young alien (David Love) falls for a pretty teenage Earth girl (Dawn Anderson) and they team up to try to stop the plans of his invading cohorts.,https://archive.org/details/teenagers_from_outerspace,https://archive.org/services/img/teenagers_from_outerspace
Mr. Robinson Crusoe,1932,Douglas Fairbanks,Adventure | Comedy,"Taken from IMDB : While cruising the South Seas with friends aboard a sailing yacht, it is wagered that Steve can not survive on a desert isle without the accouterments of civilization. After accepting the wager, Steve and his dog swim…",https://archive.org/details/mr_robinson_crusoe,https://archive.org/services/img/mr_robinson_crusoe
Horror Express,1976,Bernard Gordon,Horror | Mystery | Sci-Fi | Thriller,"An English anthropologist (Christopher Lee) has discovered a frozen monster in the frozen wastes of Manchuria which he believes may be the Missing Link. He brings the creature back to Europe aboard a trans-Siberian express, but during the…",https://archive.org/details/horror_express_ipod,https://archive.org/services/img/horror_express_ipod
Penny Serenade,1941,,romance | comedy | pdmovies,Touching romantic comedy starring Cary Grant and Irene Dunne. Find out more about this film at its IMDB page .,https://archive.org/details/penny_serenade,https://archive.org/services/img/penny_serenade
Santa Fe Trail,1940,,Errol Flynn | Ronald Reagan | Civil War | western | Robert E. Lee | Van Heflin | Olivia de Havilland | Alan Hale,"The year is 1854. Robert E. Lee is Superintendent of West Point, where J.E.B. Stuart (Errol Flynn) and George A. Custer (Ronald Reagan) are classmates. In the dormitory, one of the cadets (Van Heflin) reads aloud the secession-promoting…",https://archive.org/details/Santa_Fe_Trail_movie,https://archive.org/services/img/Santa_Fe_Trail_movie
Only the Valiant,1951,William Cagney,Adventure | Western | Gregory Peck,"Capt. Richard Lance (Gregory Peck) is unjustly held responsible, by his men and his girlfriend (Barbara Payton), for an Indian massacre death of beloved Lt. Holloway. Holloway (Gig Young) is killed while escorting a dangerous Indian chief…",https://archive.org/details/OnlytheValaint,https://archive.org/services/img/OnlytheValaint
Child Bride,1938,Kroger Babb,Drama,"Schoolteacher in a rural community campaigns to stop the practice of older men marrying young, underage girls.",https://archive.org/details/ChildBride,https://archive.org/services/img/ChildBride
Secret Agent,1936,,Hitchcock | suspense | spy | pdmovies,"From IMDb : During the first world war, novelist Edgar Brodie is sent to Switzerland by the Intelligence Service. He has to kill a German agent. During the mission he meets a fake general first and then Elsa Carrington who helps him in his…",https://archive.org/details/Hitchcock_Secret_Agent,https://archive.org/services/img/Hitchcock_Secret_Agent
"Charlie Chaplin's ""A Burlesque On Carmen""",1915,,Charlie Chaplin | Silents,Charlie Chaplin's 48th Film Released Dec. 18 1915 Charlie Chaplin's Burlesque on Carmen was Chaplin's 13th film for Essanay Films. It was released in 1915 and then later recut into a different version in 1916. Charlie Chaplin played Dain…,https://archive.org/details/CC_1915_12_18_ABurlesqueOnCarmen,https://archive.org/services/img/CC_1915_12_18_ABurlesqueOnCarmen
Que Viva Mexico,1931,Sergei Eisenstein,Mosfilm | Eisenstien | Film | Classic,"Sergei Eisenstein shot ¡Que viva México! in Mexico in 1931 at the height of the Great Depression. The courageous financiers of this project were the author Upton Sinclair, his wife Mary Craig and a small group of their friends. They had…",https://archive.org/details/QuevivaMexico,https://archive.org/services/img/QuevivaMexico
"Charlie Chaplin's ""The Floorwalker""",1916,,Charlie Chaplin | Silents,Charlie Chaplins 51st Film Released May 15 1916 The Floorwalker was Charlie Chaplin's first Mutual Film Company made in 1916. It starred Chaplin as a customer in a department store who finds out the manager is stealing money from the…,https://archive.org/details/CC_1916_05_15_TheFloorwalker,https://archive.org/services/img/CC_1916_05_15_TheFloorwalker
Great Guy,1936,Grand National Pictures,James Cagney | mystery | drama,"James Cagney plays the plucky Irish crusader, Johnny Cave, who fights against corruption at the Weights And Measures Department. James Cagney is great in this movie. It shows why he was such a huge movie star",https://archive.org/details/Great_Guy.avi,https://archive.org/services/img/Great_Guy.avi
War of the Wildcats - John Wayne (1943),1943,,John Wayne | Western | Feature Film,"War of the Wildcats or In Old Oklahoma (1943) â John Wayne John Wayne as Daniel Somers Martha Scott as Catherine Allen Albert Dekker as Jim ""Hunk"" Gardner George ""Gabby"" Hayes as Desprit Dean Marjorie Rambeau as Bessie Baxter Dale Evans as…",https://archive.org/details/WarOfTheWildcats-JohnWayne1943,https://archive.org/services/img/WarOfTheWildcats-JohnWayne1943
West of Hot Dog,1924,,Stan Laurel | western | comedy,Silent western starring Stan Laurel before he teamed up with Oliver Hardy. Note : This movie can only be viewed properly using the VLC player. You can download it for free here: http://www.videolan.org/ .,https://archive.org/details/westofhotdog,https://archive.org/services/img/westofhotdog
"Charlie Chaplin's ""The Rink""",1916,,Charlie Chaplin | Silents,"Charlie Chaplin's 58th Film Released Dec. 04 1916 The Rink was Charlie Chaplin's 8th film for Mutual Films. It co-starred Edna Purviance, Eric Campbell, Henry Bergman and Albert Austin. It is best known for showcasing Chaplin's roller…",https://archive.org/details/CC_1916_12_04_TheRink,https://archive.org/services/img/CC_1916_12_04_TheRink
Frankenstein,1910,Thomas Edison,Edison | Silent | Horror | Frankenstein,This is Edison's COMPLETE 1910 silent Frankenstein film.,https://archive.org/details/FrankensteinfullMovie,https://archive.org/services/img/FrankensteinfullMovie
